Pin_dBm X,Pin_dBm Y,Pout_dBm X,Pout_dBm Y,g_dB X,g_dB Y
0.0008317637711026828,-0.8000003052234894,0.0008317637711026828,11.86415542156069,0.0008317637711026828,12.66415572678418
0.0008709635899560931,-0.6000003052237214,0.0008709635899560931,12.00001733925672,0.0008709635899560931,12.60001764448044
0.0009120108393559229,-0.400000305223947,0.0009120108393559229,12.1346098345981,0.0009120108393559229,12.53461013982205
0.0009549925860214498,-0.2000003052241606,0.0009549925860214498,12.26793708169848,0.0009549925860214498,12.46793738692265
0.001000000000000015,-3.052243618122964e-07,0.001000000000000015,12.40000419925543,0.001000000000000015,12.40000450447979
0.001047128548050915,0.1999996947754417,0.001047128548050915,12.53081723338808,0.001047128548050915,12.33081753861264
0.001096478196143201,0.3999996947752538,0.001096478196143201,12.66038313889869,0.001096478196143201,12.26038344412344
0.0011481536214969,0.5999996947750748,0.0011481536214969,12.78870975913974,0.0011481536214969,12.18871006436466
0.001202264434617431,0.799999694774904,0.001202264434617431,12.91580580467143,0.001202264434617431,12.11580610989653
0.001258925411794186,0.9999996947747445,0.001258925411794186,13.04168083089146,0.001258925411794186,12.04168113611672
0.001318256738556427,1.199999694774587,0.001318256738556427,13.1663452148188,0.001318256738556427,11.96634552004421
0.001380384264602905,1.39999969477444,0.001380384264602905,13.28981013120878,0.001380384264602905,11.88981043643435
0.001445439770745949,1.599999694774301,0.001445439770745949,13.41208752817194,0.001445439770745949,11.81208783339764
0.001513561248436231,1.799999694774165,0.001513561248436231,13.53319010246286,0.001513561248436231,11.7331904076887
0.001584893192461137,1.999999694774035,0.001584893192461137,13.65313127459835,0.001584893192461137,11.65313157982431
0.001659586907437586,2.19999969477391,0.001659586907437586,13.77192516395592,0.001659586907437586,11.57192546918201
0.001737800828749402,2.399999694773792,0.001737800828749402,13.88958656399493,0.001737800828749402,11.48958686922114
0.001819700858610011,2.599999694773683,0.001819700858610011,14.00613091773343,0.001819700858610011,11.40613122295975
0.001905460717963276,2.799999694773574,0.001905460717963276,14.12157429360373,0.001905460717963276,11.32157459883016
0.00199526231496891,2.99999969477347,0.00199526231496891,14.23593336180007,0.00199526231496891,11.2359336670266
0.002089296130854072,3.199999694773376,0.002089296130854072,14.34922537122102,0.002089296130854072,11.14922567644765
0.002187761623949586,3.399999694773283,0.002187761623949586,14.46146812709932,0.002187761623949586,11.06146843232603
0.002290867652767808,3.599999694773192,0.002290867652767808,14.57267996940136,0.002290867652767808,10.97268027462817
0.002398832919019528,3.799999694773105,0.002398832919019528,14.6828797520686,0.002398832919019528,10.88288005729549
0.002511886431509619,3.999999694773023,0.002511886431509619,14.79208682316294,0.002511886431509619,10.79208712838992
0.002630267991895423,4.199999694772951,0.002630267991895423,14.9003210059688,0.002630267991895423,10.70032131119585
0.00275422870333821,4.399999694772877,0.00275422870333821,15.00760258109495,0.00275422870333821,10.60760288632207
0.002884031503126652,4.599999694772809,0.002884031503126652,15.1139522696105,0.002884031503126652,10.51395257483769
0.003019951720402065,4.79999969477274,0.003019951720402065,15.21939121724051,0.003019951720402065,10.41939152246776
0.003162277660168431,4.999999694772674,0.003162277660168431,15.32394097963881,0.003162277660168431,10.32394128486613
0.003311311214825965,5.199999694772613,0.003311311214825965,15.42762350874777,0.003311311214825965,10.22762381397516
0.003467368504525373,5.399999694772553,0.003467368504525373,15.53046114024735,0.003467368504525373,10.1304614454748
0.003630780547701073,5.599999694772499,0.003630780547701073,15.632476582089,0.003630780547701073,10.0324768873165
0.003801893963205675,5.799999694772444,0.003801893963205675,15.73369290410357,0.003801893963205675,9.933693209331127
0.003981071705535038,5.999999694772393,0.003981071705535038,15.83413352866617,0.003981071705535038,9.834133833893775
0.004168693834703424,6.199999694772346,0.004168693834703424,15.93382222239532,0.004168693834703424,9.733822527622971
0.004365158322401733,6.399999694772299,0.004365158322401733,16.03278308885859,0.004365158322401733,9.632783394086289
0.004570881896148828,6.599999694772253,0.004570881896148828,16.13104056225236,0.004570881896148828,9.531040867480108
0.004786300923226465,6.799999694772208,0.004786300923226465,16.22861940201526,0.004786300923226465,9.428619707243053
0.005011872336272809,6.999999694772168,0.005011872336272809,16.32554468833982,0.005011872336272809,9.325544993567657
0.005248074602497817,7.199999694772132,0.005248074602497817,16.421841818529,0.005248074602497817,9.22184212375687
0.005495408738576341,7.399999694772098,0.005495408738576341,16.51753650415279,0.005495408738576341,9.117536809380695
0.00575439937337167,7.599999694772066,0.00575439937337167,16.61265476894977,0.00575439937337167,9.012655074177706
0.006025595860743683,7.79999969477203,0.006025595860743683,16.70722294741697,0.006025595860743683,8.907223252644936
0.006309573444802043,7.999999694771997,0.006309573444802043,16.80126768402801,0.006309573444802043,8.801267989256013
0.006606934480076076,8.199999694771966,0.006606934480076076,16.89481593301617,0.006606934480076076,8.694816238244202
0.006918309709189487,8.399999694771934,0.006918309709189487,16.98789495865596,0.006918309709189487,8.587895263884022
0.007244359600750028,8.59999969477191,0.007244359600750028,17.08053233597397,0.007244359600750028,8.480532641202066
