/Pdrop X,/Pdrop Y
1.280280000000008e-06,2.206582394227012e-14
1.280281000000008e-06,2.208184755749176e-14
1.280282000000008e-06,2.209790017710412e-14
1.280283000000008e-06,2.211398185533272e-14
1.280284000000008e-06,2.213009264653122e-14
1.280285000000008e-06,2.214623260519579e-14
1.280286000000008e-06,2.216240178596761e-14
1.280287000000008e-06,2.2178600243617e-14
1.280288000000008e-06,2.219482803305819e-14
1.280289000000008e-06,2.221108520935349e-14
1.280290000000008e-06,2.22273718276894e-14
1.280291000000008e-06,2.224368794340867e-14
1.280292000000008e-06,2.226003361198858e-14
1.280293000000008e-06,2.227640888904539e-14
1.280294000000008e-06,2.229281383033865e-14
1.280295000000008e-06,2.230924849178062e-14
1.280296000000008e-06,2.232571292941082e-14
1.280297000000008e-06,2.234220719942089e-14
1.280298000000008e-06,2.235873135814501e-14
1.280299000000008e-06,2.237528546206488e-14
1.280300000000008e-06,2.239186956779492e-14
1.280301000000008e-06,2.240848373210819e-14
1.280302000000008e-06,2.242512801192101e-14
1.280303000000008e-06,2.244180246428376e-14
1.280304000000008e-06,2.245850714640614e-14
1.280305000000008e-06,2.247524211564222e-14
1.280306000000008e-06,2.249200742947956e-14
1.280307000000009e-06,2.250880314557329e-14
1.280308000000009e-06,2.252562932171691e-14
1.280309000000009e-06,2.254248601585011e-14
1.280310000000009e-06,2.255937328605995e-14
1.280311000000009e-06,2.257629119059722e-14
1.280312000000009e-06,2.259323978783986e-14
1.280313000000009e-06,2.261021913633329e-14
1.280314000000009e-06,2.262722929476501e-14
1.280315000000009e-06,2.264427032198037e-14
1.280316000000009e-06,2.266134227696488e-14
1.280317000000009e-06,2.267844521886484e-14
1.280318000000009e-06,2.269557920698192e-14
1.280319000000009e-06,2.271274430075787e-14
1.280320000000009e-06,2.272994055979392e-14
1.280321000000009e-06,2.274716804385115e-14
1.280322000000009e-06,2.27644268128324e-14
1.280323000000009e-06,2.278171692680658e-14
1.280324000000009e-06,2.279903844598827e-14
1.280325000000009e-06,2.281639143075315e-14
1.280326000000009e-06,2.28337759416298e-14
1.280327000000009e-06,2.285119203930362e-14
1.280328000000009e-06,2.286863978461495e-14
1.280329000000009e-06,2.288611923856871e-14
1.280330000000009e-06,2.290363046231637e-14
1.280331000000009e-06,2.292117351717865e-14
1.280332000000009e-06,2.29387484646169e-14
1.280333000000009e-06,2.295635536627552e-14
1.280334000000009e-06,2.297399428394427e-14
1.280335000000009e-06,2.299166527956944e-14
1.280336000000009e-06,2.30093684152665e-14
1.280337000000009e-06,2.302710375330593e-14
1.280338000000009e-06,2.304487135612158e-14
