Lane,Wavelength [nm],Insertion Loss [dB]
0,1275.1400000000338,-22.969152876647428
0,1275.1500000000337,-23.00769787178743
0,1275.1600000000337,-23.05167131812693
0,1275.170000000034,-23.101079375603884
0,1275.180000000034,-23.155928529728488
0,1275.190000000034,-23.216225461496116
0,1275.2000000000342,-23.28197688382504
0,1275.2100000000341,-23.353189341644992
0,1275.2200000000341,-23.429868971650386
0,1275.2300000000344,-23.512021218280168
0,1275.2400000000343,-23.599650500757512
0,1275.2500000000343,-23.692759825829807
0,1275.2600000000346,-23.7913503405893
0,1275.2700000000345,-23.895420817842265
0,1275.2800000000345,-24.00496706671696
0,1275.2900000000348,-24.119981259444355
0,1275.3000000000347,-24.240451164886142
0,1275.3100000000347,-24.366359277839443
0,1275.320000000035,-24.497681832051207
0,1275.330000000035,-24.634387684361823
0,1275.340000000035,-24.77643705544341
0,1275.3500000000352,-24.923780112372643
0,1275.3600000000351,-25.076355377052035
0,1275.3700000000351,-25.23408794406396
0,1275.3800000000354,-25.396887491712114
0,1275.3900000000353,-25.564646069983684
0,1275.4000000000353,-25.737235651039093
0,1275.4100000000356,-25.914505430417798
0,1275.4200000000355,-26.096278871136697
0,1275.4300000000355,-26.282350488609563
0,1275.4400000000358,-26.472482383929723
0,1275.4500000000357,-26.66640054457016
0,1275.4600000000357,-26.863790946834342
0,1275.470000000036,-27.064295515635393
0,1275.480000000036,-27.267508022324908
0,1275.490000000036,-27.472970032785604
0,1275.5000000000362,-27.680167055385645
0,1275.5100000000361,-27.888525081428618
0,1275.5200000000361,-28.097407758295155
0,1275.5300000000364,-28.306114485294547
0,1275.5400000000363,-28.51387977116842
0,1275.5500000000363,-28.71987423405131
0,1275.5600000000366,-28.923207652104182
0,1275.5700000000365,-29.122934478834082
0,1275.5800000000365,-29.31806220603997
0,1275.5900000000365,-29.507562885699908
0,1275.6000000000367,-29.690387993053324
0,1275.6100000000367,-29.86548662715513
0,1275.6200000000367,-30.03182680234381
0,1275.630000000037,-30.188419295059706
0,1275.640000000037,-30.33434320099591
0,1275.650000000037,-30.468772058669384
0,1275.6600000000371,-30.590999156489747
0,1275.6700000000371,-30.700460497558588
0,1275.6800000000371,-30.796753897576338
0,1275.6900000000373,-30.87965284939447
0,1275.7000000000373,-30.949114109752518
0,1275.7100000000373,-31.005278412069824
0,1275.7200000000375,-31.048464236690485
0,1275.7300000000375,-31.079155106399433
0,1275.7400000000375,-31.09798134903749
0,1275.7500000000377,-31.1056976253068
0,1275.7600000000377,-31.103157720761295
0,1275.7700000000377,-31.09128813850203
0,1275.780000000038,-31.071061920708335
0,1275.790000000038,-31.04347390571695
0,1275.800000000038,-31.009518341086178
0,1275.8100000000381,-30.97016946141467
0,1275.8200000000381,-30.92636534387976
0,1275.8300000000381,-30.878995099122896
0,1275.8400000000383,-30.82888925335498
0,1275.8500000000383,-30.776813037455835
0,1275.8600000000383,-30.723462212163156
0,1275.8700000000385,-30.669461019628905
0,1275.8800000000385,-30.61536185034004
0,1275.8900000000385,-30.5616462376409
0,1275.9000000000387,-30.50872683252079
0,1275.9100000000387,-30.45695006032481
0,1275.9200000000387,-30.406599211985913
0,1275.930000000039,-30.35789777274248
0,1275.940000000039,-30.311012837742265
0,1275.950000000039,-30.266058503415184
0,1275.9600000000391,-30.22309916085533
0,1275.9700000000391,-30.182152644707752
0,1275.9800000000391,-30.14319321679803
0,1275.9900000000393,-30.106154382862663
0,1276.0000000000393,-30.070931556266007
0,1276.0100000000393,-30.03738459468194
0,1276.0200000000395,-30.005340245676933
0,1276.0300000000395,-29.974594542390427
0,1276.0400000000395,-29.944915196202295
0,1276.0500000000397,-29.916044035067976
0,1276.0600000000397,-29.887699535503142
0,1276.0700000000397,-29.85957949568428
0,1276.08000000004,-29.83136389150229
0,1276.09000000004,-29.802717951678375
0,1276.10000000004,-29.773295479098255
0,1276.1100000000401,-29.74274243360133
0,1276.1200000000401,-29.71070077863772
0,1276.1300000000401,-29.67681257826627
0,1276.1400000000403,-29.640724313690217
0,1276.1500000000403,-29.602091370704567
0,1276.1600000000403,-29.56058263166885
0,1276.1700000000405,-29.51588508834863
0,1276.1800000000405,-29.46770837726808
0,1276.1900000000405,-29.415789128720018
0,1276.2000000000407,-29.359895013655777
0,1276.2100000000407,-29.299828371681755
0,1276.2200000000407,-29.23542930941087
0,1276.230000000041,-29.166578169626728
0,1276.240000000041,-29.09319728967447
0,1276.250000000041,-29.015251990967084
0,1276.260000000041,-28.932750767754577
0,1276.2700000000411,-28.845744673515156
0,1276.2800000000411,-28.754325931627157
0,1276.2900000000411,-28.658625826309233
0,1276.3000000000413,-28.558811953376356
0,1276.3100000000413,-28.455084930450756
0,1276.3200000000413,-28.34767468077063
0,1276.3300000000415,-28.23683641149751
0,1276.3400000000415,-28.12284641004085
0,1276.3500000000415,-28.005997776619793
0,1276.3600000000417,-27.886596202690015
0,1276.3700000000417,-27.764955891894555
0,1276.3800000000417,-27.64139570442196
0,1276.390000000042,-27.516235588511236
0,1276.400000000042,-27.389793346696173
0,1276.410000000042,-27.262381766371924
0,1276.4200000000421,-27.134306130588218
0,1276.4300000000421,-27.005862110832975
0,1276.4400000000421,-26.877334033117315
0,1276.4500000000423,-26.74899349928266
0,1276.4600000000423,-26.621098339999104
0,1276.4700000000423,-26.493891870416753
0,1276.4800000000425,-26.367602417201628
0,1276.4900000000425,-26.24244308507859
0,1276.5000000000425,-26.118611730115582
0,1276.5100000000427,-25.996291109415928
0,1276.5200000000427,-25.875649177189235
0,1276.5300000000427,-25.75683950133081
0,1276.540000000043,-25.640001774945066
0,1276.550000000043,-25.525262402501014
0,1276.560000000043,-25.412735140525808
0,1276.5700000000431,-25.302521777302825
0,1276.5800000000431,-25.194712837439802
0,1276.5900000000431,-25.089388299475015
0,1276.6000000000433,-24.986618317378433
0,1276.6100000000433,-24.886463937670193
0,1276.6200000000433,-24.788977806587404
0,1276.6300000000435,-24.694204861601023
0,1276.6400000000435,-24.60218300431242
0,1276.6500000000435,-24.512943751715092
0,1276.6600000000437,-24.426512863508574
0,1276.6700000000437,-24.342910944819472
0,1276.6800000000437,-24.262154022942674
0,1276.690000000044,-24.1842540978071
0,1276.700000000044,-24.10921966607458
0,1276.710000000044,-24.037056219033875
0,1276.7200000000441,-23.967766714134218
0,1276.7300000000441,-23.90135202101293
0,1276.7400000000441,-23.837811341735726
0,1276.7500000000443,-23.777142606007967
0,1276.7600000000443,-23.719342841801993
0,1276.7700000000443,-23.664408521130873
0,1276.7800000000445,-23.612335882019522
0,1276.7900000000445,-23.5631212261285
0,1276.8000000000445,-23.51676119284982
0,1276.8100000000447,-23.473253009465473
0,1276.8200000000447,-23.432594717948646
0,1276.8300000000447,-23.394785377769345
0,1276.840000000045,-23.35982524563446
0,1276.850000000045,-23.32771593093085
0,1276.860000000045,-23.298460528116053
0,1276.870000000045,-23.272063724996617
0,1276.8800000000451,-23.24853188718807
0,1276.8900000000451,-23.227873118947574
0,1276.900000000045,-23.210097299824678
0,1276.9100000000453,-23.195216097550645
0,1276.9200000000453,-23.183242956825953
0,1276.9300000000453,-23.17419306414195
0,1276.9400000000455,-23.168083288707205
0,1276.9500000000455,-23.16493209932758
0,1276.9600000000455,-23.164759457325715
0,1276.9700000000457,-23.167586685604157
0,1276.9800000000457,-23.17343631388157
0,1276.9900000000457,-23.182331899829784
0,1277.000000000046,-23.19429782655981
0,1277.010000000046,-23.209359075863965
