/Pdrop (Plsr=0.1) X,/Pdrop (Plsr=0.1) Y,/Pdrop (Plsr=0.01) X,/Pdrop (Plsr=0.01) Y,/Pdrop (Plsr=0.001) X,/Pdrop (Plsr=0.001) Y
1.310257999999975e-06,0.0259501098776891,1.310257999999975e-06,0.002919583587793755,1.310257999999975e-06,0.0002928626789878412
1.310263999999975e-06,0.02535492514593042,1.310263999999975e-06,0.00283134452336582,1.310263999999975e-06,0.0002839468459226704
1.310269999999975e-06,0.02476910781949778,1.310269999999975e-06,0.002746610521018536,1.310269999999975e-06,0.0002753917460298228
1.310275999999975e-06,0.02419336144708599,1.310275999999975e-06,0.002665240507683577,1.310275999999975e-06,0.0002671820663735865
1.310281999999975e-06,0.02362829255472392,1.310281999999975e-06,0.002587096474421942,1.310281999999975e-06,0.0002593029467285735
1.310287999999975e-06,0.0230744136859578,1.310287999999975e-06,0.002512043945864243,1.310287999999975e-06,0.000251740008885573
1.310293999999975e-06,0.02253214749535771,1.310293999999975e-06,0.002439952334455562,1.310293999999975e-06,0.0002444793764274102
1.310299999999975e-06,0.02200183167034715,1.310299999999975e-06,0.002370695197471359,1.310299999999975e-06,0.0002375076865925923
1.310305999999975e-06,0.02148372446556003,1.310305999999975e-06,0.002304150412537963,1.310305999999975e-06,0.0002308120956237526
1.310311999999974e-06,0.02097801064964829,1.310311999999974e-06,0.002240200285284514,1.310311999999974e-06,0.0002243802787944508
1.310317999999974e-06,0.02048480768515373,1.310317999999974e-06,0.002178731600872636,1.310317999999974e-06,0.0002182004261301059
1.310323999999974e-06,0.02000417198619333,1.310323999999974e-06,0.002119635629548777,1.310323999999974e-06,0.0002122612346906777
1.310329999999974e-06,0.0195361051229844,1.310329999999974e-06,0.00206280809483283,1.310329999999974e-06,0.0002065518981422082
1.310335999999974e-06,0.01908055986726816,1.310335999999974e-06,0.002008149111734899,1.310335999999974e-06,0.0002010620942349551
1.310341999999974e-06,0.01863744599561239,1.310341999999974e-06,0.001955563101234209,1.310341999999974e-06,0.000195781970702406
1.310347999999974e-06,0.01820663578894181,1.310347999999974e-06,0.001904958686302046,1.310347999999974e-06,0.0001907021300119965
1.310353999999974e-06,0.01778796918529836,1.310353999999974e-06,0.001856248573897696,1.310353999999974e-06,0.0001858136133239512
1.310359999999974e-06,0.01738125855909007,1.310359999999974e-06,0.001809349426658137,1.310359999999974e-06,0.0001811078839538651
1.310365999999974e-06,0.01698629311339916,1.310365999999974e-06,0.001764181727361545,1.310365999999974e-06,0.0001765768105796401
1.310371999999974e-06,0.01660284288289912,1.310371999999974e-06,0.001720669638716631,1.310371999999974e-06,0.000172212650388757
1.310377999999974e-06,0.01623066235376507,1.310377999999974e-06,0.001678740860599169,1.310377999999974e-06,0.0001680080323261084
1.310383999999974e-06,0.01586949371316674,1.310383999999974e-06,0.001638326486429662,1.310383999999974e-06,0.0001639559405663423
1.310389999999974e-06,0.01551906974608525,1.310389999999974e-06,0.001599360860100953,1.310389999999974e-06,0.0001600496983119045
1.310395999999974e-06,0.01517911640013771,1.310395999999974e-06,0.001561781434550461,1.310395999999974e-06,0.0001562829519916025
1.310401999999974e-06,0.01484935504151906,1.310401999999974e-06,0.001525528632882553,1.310401999999974e-06,0.0001526050102820517
1.310407999999974e-06,0.0145295044257488,1.310407999999974e-06,0.001490545712700402,1.310407999999974e-06,0.0001491018470523685
1.310413999999974e-06,0.01421928240755732,1.310413999999974e-06,0.001456778634187542,1.310413999999974e-06,0.0001457203810473887
1.310419999999974e-06,0.01391840741365525,1.310419999999974e-06,0.001424175932316622,1.310419999999974e-06,0.0001424558320860407
1.310425999999974e-06,0.01362659970149381,1.310425999999974e-06,0.001392688593467308,1.310425999999974e-06,0.0001393032466604734
1.310431999999974e-06,0.01334358242583165,1.310431999999974e-06,0.00136226993662206,1.310431999999974e-06,0.000136257912135967
1.310437999999974e-06,0.01306908253381796,1.310437999999974e-06,0.001332875499254638,1.310437999999974e-06,0.0001333153426198727
1.310443999999973e-06,0.01280283150775932,1.310443999999973e-06,0.001304462927952375,1.310443999999973e-06,0.0001304712674641051
1.310449999999973e-06,0.01254456597318146,1.310449999999973e-06,0.001276991873756443,1.310449999999973e-06,0.0001277216203002102
1.310455999999973e-06,0.01229402818844344,1.310455999999973e-06,0.001250423892179781,1.310455999999973e-06,0.0001250625286017487
1.310461999999973e-06,0.01205096643061277,1.310461999999973e-06,0.00122472234782225,1.310461999999973e-06,0.0001224903037593646
1.310467999999973e-06,0.01181513529090342,1.310467999999973e-06,0.001199852323478695,1.310467999999973e-06,0.0001200014316514654
1.310473999999973e-06,0.01158629589157466,1.310473999999973e-06,0.001175780533610216,1.310473999999973e-06,0.000117592563691553
1.310479999999973e-06,0.0113642160350497,1.310479999999973e-06,0.001152475242047236,1.310479999999973e-06,0.0001152605083344047
1.310485999999973e-06,0.0111486702948205,1.310485999999973e-06,0.001129906183780138,1.310485999999973e-06,0.000113002223021326
1.310491999999973e-06,0.01093944005654721,1.310491999999973e-06,0.001108044490677308,1.310491999999973e-06,0.0001108148065464824
1.310497999999973e-06,0.01073631351683484,1.310497999999973e-06,0.001086862620972228,1.310497999999973e-06,0.0001086954918228235
1.310503999999973e-06,0.01053908564636398,1.310503999999973e-06,0.001066334292367991,1.310503999999973e-06,0.0001066416390316783
1.310509999999973e-06,0.01034755812310562,1.310509999999973e-06,0.001046434418592532,1.310509999999973e-06,0.0001046507291354699
1.310515999999973e-06,0.01016153924074689,1.310515999999973e-06,0.001027139049251688,1.310515999999973e-06,0.0001027203577364835
1.310521999999973e-06,0.009980843796685106,1.310521999999973e-06,0.001008425312816804,1.310521999999973e-06,0.0001008482292635067
1.310527999999973e-06,0.00980529296358611,1.310527999999973e-06,0.0009902713626093516,1.310527999999973e-06,9.903215147069438e-05
1.310533999999973e-06,0.00963471414772508,1.310533999999973e-06,0.0009726563256215579,1.310533999999973e-06,9.727003023110867e-05
1.310539999999973e-06,0.009468940837052875,1.310539999999973e-06,0.0009555602540351362,1.310539999999973e-06,9.555986461008613e-05
1.310545999999973e-06,0.009307812441517561,1.310545999999973e-06,0.0009389640793039549,1.310545999999973e-06,9.389974220350522e-05
1.310551999999973e-06,0.009151174127727889,1.310551999999973e-06,0.0009228495686623813,1.310551999999973e-06,9.228783472618782e-05
