g0_dB (T=35) X,g0_dB (T=35) Y,g0_dB (T=55) X,g0_dB (T=55) Y,g0_dB (T=70) X,g0_dB (T=70) Y,g0_dB (T=80) X,g0_dB (T=80) Y
1.298369999999434e-06,11.76872645542201,1.298369999999434e-06,10.4238971153465,1.298369999999434e-06,8.930045704765766,1.298369999999434e-06,7.636049684053812
1.298374999999434e-06,11.76842893248237,1.298374999999434e-06,10.42389317465826,1.298374999999434e-06,8.930278271267085,1.298374999999434e-06,7.636410012419158
1.298379999999434e-06,11.76813123244488,1.298379999999434e-06,10.42388905924673,1.298379999999434e-06,8.930510702248865,1.298379999999434e-06,7.636770244851857
1.298384999999434e-06,11.76783335534736,1.298384999999434e-06,10.42388476911239,1.298384999999434e-06,8.930742997688679,1.298384999999434e-06,7.637130381325555
1.298389999999434e-06,11.76753530122762,1.298389999999434e-06,10.42388030425577,1.298389999999434e-06,8.930975157564117,1.298389999999434e-06,7.637490421813915
1.298394999999434e-06,11.76723707012355,1.298394999999434e-06,10.42387566467741,1.298394999999434e-06,8.931207181852757,1.298394999999434e-06,7.637850366290557
1.298399999999434e-06,11.76693866207298,1.298399999999434e-06,10.42387085037786,1.298399999999434e-06,8.931439070532214,1.298399999999434e-06,7.638210214729149
1.298404999999434e-06,11.7666400771138,1.298404999999434e-06,10.42386586135771,1.298404999999434e-06,8.931670823580101,1.298404999999434e-06,7.638569967103342
1.298409999999434e-06,11.7663413152839,1.298409999999434e-06,10.42386069761756,1.298409999999434e-06,8.931902440974042,1.298409999999434e-06,7.638929623386791
1.298414999999433e-06,11.76604237662118,1.298414999999433e-06,10.42385535915803,1.298414999999433e-06,8.932133922691685,1.298414999999433e-06,7.639289183553172
1.298419999999433e-06,11.76574326116361,1.298419999999433e-06,10.42384984597976,1.298419999999433e-06,8.932365268710656,1.298419999999433e-06,7.639648647576114
1.298424999999433e-06,11.7654439689491,1.298424999999433e-06,10.42384415808343,1.298424999999433e-06,8.932596479008616,1.298424999999433e-06,7.640008015429287
1.298429999999433e-06,11.76514450001562,1.298429999999433e-06,10.42383829546971,1.298429999999433e-06,8.932827553563239,1.298429999999433e-06,7.640367287086359
1.298434999999433e-06,11.76484485440115,1.298434999999433e-06,10.42383225813932,1.298434999999433e-06,8.933058492352195,1.298434999999433e-06,7.640726462520995
1.298439999999433e-06,11.76454503214368,1.298439999999433e-06,10.42382604609299,1.298439999999433e-06,8.933289295353173,1.298439999999433e-06,7.641085541706857
1.298444999999433e-06,11.7642450332812,1.298444999999433e-06,10.42381965933145,1.298444999999433e-06,8.933519962543881,1.298444999999433e-06,7.641444524617633
1.298449999999433e-06,11.76394485785177,1.298449999999433e-06,10.4238130978555,1.298449999999433e-06,8.933750493902009,1.298449999999433e-06,7.641803411226959
1.298454999999433e-06,11.76364450589342,1.298454999999433e-06,10.42380636166591,1.298454999999433e-06,8.93398088940528,1.298454999999433e-06,7.642162201508523
1.298459999999433e-06,11.7633439774442,1.298459999999433e-06,10.4237994507635,1.298459999999433e-06,8.934211149031425,1.298459999999433e-06,7.642520895435997
1.298464999999433e-06,11.7630432725422,1.298464999999433e-06,10.4237923651491,1.298464999999433e-06,8.934441272758182,1.298464999999433e-06,7.642879492983061
1.298469999999433e-06,11.76274239122548,1.298469999999433e-06,10.42378510482358,1.298469999999433e-06,8.934671260563311,1.298469999999433e-06,7.643237994123407
1.298474999999433e-06,11.76244133353218,1.298474999999433e-06,10.42377766978779,1.298474999999433e-06,8.93490111242455,1.298474999999433e-06,7.643596398830681
1.298479999999433e-06,11.76214009950041,1.298479999999433e-06,10.42377006004265,1.298479999999433e-06,8.935130828319679,1.298479999999433e-06,7.64395470707858
1.298484999999432e-06,11.76183868916831,1.298484999999432e-06,10.42376227558908,1.298484999999432e-06,8.935360408226479,1.298484999999432e-06,7.644312918840788
1.298489999999432e-06,11.76153710257403,1.298489999999432e-06,10.423754316428,1.298489999999432e-06,8.935589852122741,1.298489999999432e-06,7.644671034090989
1.298494999999432e-06,11.76123533975573,1.298494999999432e-06,10.42374618256038,1.298494999999432e-06,8.935819159986274,1.298494999999432e-06,7.645029052802887
1.298499999999432e-06,11.76093340075162,1.298499999999432e-06,10.42373787398721,1.298499999999432e-06,8.93604833179487,1.298499999999432e-06,7.64538697495014
1.298504999999432e-06,11.7606312855999,1.298504999999432e-06,10.42372939070948,1.298504999999432e-06,8.936277367526362,1.298504999999432e-06,7.645744800506451
1.298509999999432e-06,11.76032899433877,1.298509999999432e-06,10.42372073272822,1.298509999999432e-06,8.936506267158581,1.298509999999432e-06,7.646102529445516
1.298514999999432e-06,11.76002652700649,1.298514999999432e-06,10.42371190004447,1.298514999999432e-06,8.936735030669372,1.298514999999432e-06,7.646460161741027
1.298519999999432e-06,11.75972388364128,1.298519999999432e-06,10.42370289265931,1.298519999999432e-06,8.936963658036593,1.298519999999432e-06,7.646817697366699
1.298524999999432e-06,11.75942106428144,1.298524999999432e-06,10.42369371057381,1.298524999999432e-06,8.937192149238092,1.298524999999432e-06,7.647175136296196
1.298529999999432e-06,11.75911806896523,1.298529999999432e-06,10.42368435378909,1.298529999999432e-06,8.937420504251749,1.298529999999432e-06,7.647532478503233
1.298534999999432e-06,11.75881489773096,1.298534999999432e-06,10.42367482230627,1.298534999999432e-06,8.937648723055453,1.298534999999432e-06,7.647889723961518
1.298539999999432e-06,11.75851155061694,1.298539999999432e-06,10.42366511612651,1.298539999999432e-06,8.937876805627097,1.298539999999432e-06,7.648246872644748
